Player Name,Name in FPL,Team,Gameweeks
Ryan Trevitt,Trevitt,Brentford,16
Gustavo Nunes Fernandes Gomes,G.Nunes,Brentford,16
Jayden Meghoma,Meghoma,Brentford,16
Tony Yogane,Yogane,Brentford,16
Paris Maghoma,Maghoma,Brentford,16
Simon Adingra,Adingra,Brighton,16
Benicio Baker-Boaitey,Baker-Boaitey,Brighton,16
Carlos Baleba,Baleba,Brighton,16
ValentÌn Barco,Barco,Brighton,16
Amario Cozier-Duberry,Cozier-Duberry,Brighton,16
Mahmoud Dahoud,Dahoud,Brighton,16
Lewis Dunk,Dunk,Brighton,16
Julio Enciso,Enciso,Brighton,16
Pervis EstupiÒ·n,EstupiÒan,Brighton,16
Evan Ferguson,Ferguson,Brighton,16
Billy Gilmour,Gilmour,Brighton,16
Pascal Groﬂ,Gross,Brighton,16
Jack Hinshelwood,Hinshelwood,Brighton,16
Ibrahim Osman,I.Osman,Brighton,16
Igor Julio dos Santos de Paulo,Igor,Brighton,16
Jo„o Pedro Junqueira de Jesus,Jo„o Pedro,Brighton,16
Kacper Koz?owski,Koz?owski,Brighton,16
Tariq Lamptey,Lamptey,Brighton,16
Solly March,March,Brighton,16
Adrian Mazilu,Mazilu,Brighton,16
James Milner,Milner,Brighton,16
Yankuba Minteh,Minteh,Brighton,16
Mitoma Kaoru,Mitoma,Brighton,16
Jakub Moder,Moder,Brighton,16
Mark O‚ÄôMahony,O‚ÄôMahony,Brighton,16
Odeluga Offiah,Offiah,Brighton,16
Cameron Peupion,Peupion,Brighton,16
Jeremy Sarmiento Morante,Sarmiento,Brighton,16
Jason Steele,Steele,Brighton,16
Deniz Undav,Undav,Brighton,16
Jan Paul van Hecke,Van Hecke,Brighton,16
JoÎl Veltman,Veltman,Brighton,16
Bart Verbruggen,Verbruggen,Brighton,16
Adam Webster,Webster,Brighton,16
Danny Welbeck,Welbeck,Brighton,16
Mats Wieffer,Wieffer,Brighton,16
Brajan Gruda,Gruda,Brighton,16
Yasin Ayari,Ayari,Brighton,16
Andrew Moran,Moran,Brighton,16
Carl Rushworth,Rushworth,Brighton,16
Georginio Rutter,Georginio,Brighton,16
Ferdi Kadioglu,F.Kadƒ±oƒülu,Brighton,16
Matt O'Riley,O'Riley,Brighton,16
Imari Samuels,Samuels,Brighton,16
Killian Cahill,Cahill,Brighton,16
Ruairi McConville,McConville,Brighton,16
Jacob Slater,Slater,Brighton,16
Andrey Nascimento dos Santos,Andrey Santos,Chelsea,16
¬ngelo Gabriel Borges Damaceno,¬ngelo,Chelsea,16
BenoÓt Badiashile,B.Badiashile,Chelsea,16
Lucas Bergstrˆm,Bergstrˆm,Chelsea,16
Marcus Bettinelli,Bettinelli,Chelsea,16
MoisÈs Caicedo Corozo,Caicedo,Chelsea,16
Cesare Casadei,Casadei,Chelsea,16
Ben Chilwell,Chilwell,Chelsea,16
Carney Chukwuemeka,Chukwuemeka,Chelsea,16
Levi Colwill,Colwill,Chelsea,16
Marc Cucurella Saseta,Cucurella,Chelsea,16
David Datro Fofana,D.D.Fofana,Chelsea,16
Deivid Washington de Souza EugÍnio,Deivid,Chelsea,16
Kiernan Dewsbury-Hall,Dewsbury-Hall,Chelsea,16
Axel Disasi,Disasi,Chelsea,16
Enzo Fern·ndez,Enzo,Chelsea,16
Conor Gallagher,Gallagher,Chelsea,16
Alfie Gilchrist,Gilchrist,Chelsea,16
Malo Gusto,Gusto,Chelsea,16
Reece James,James,Chelsea,16
Omari Kellyman,Kellyman,Chelsea,16
RomÈo Lavia,Lavia,Chelsea,16
Romelu Lukaku Bolingoli,Lukaku,Chelsea,16
Malang Sarr,M.Sarr,Chelsea,16
Noni Madueke,Madueke,Chelsea,16
Marc Guiu Paz,Marc Guiu,Chelsea,16
Mykhailo Mudryk,Mudryk,Chelsea,16
Nicolas Jackson,N.Jackson,Chelsea,16
Christopher Nkunku,Nkunku,Chelsea,16
Cole Palmer,Palmer,Chelsea,16
?or?e Petrovi?,Petrovi?,Chelsea,16
Renato Palma Veiga,Renato Veiga,Chelsea,16
Robert S·nchez,S·nchez,Chelsea,16
Tosin Adarabioyo,Tosin,Chelsea,16
Wesley Fofana,W.Fofana,Chelsea,16
Jadon Sancho,Sancho,Chelsea,16
Pedro Lomba Neto,Neto,Chelsea,16
Caleb Wiley,Wiley,Chelsea,16
Filip J¯rgensen,J¯rgensen,Chelsea,16
Jo„o FÈlix Sequeira,Jo„o FÈlix,Chelsea,16
Samuel Rak-Sakyi,Rak-Sakyi,Chelsea,16
Tyrique George,George,Chelsea,16
Josh Acheampong,Acheampong,Chelsea,16
Eddie Nketiah,Nketiah,Crystal Palace,16
Trevoh Chalobah,Chalobah,Crystal Palace,16
Naouirou Ahamada,Ahamada,Crystal Palace,16
Cheick DoucourÈ,C.DoucourÈ,Crystal Palace,16
Chris Richards,C.Richards,Crystal Palace,16
Chadi Riad Dnanou,Chadi Riad,Crystal Palace,16
Nathaniel Clyne,Clyne,Crystal Palace,16
Malcolm Ebiowei,Ebiowei,Crystal Palace,16
Eberechi Eze,Eze,Crystal Palace,16
Marc GuÈhi,GuÈhi,Crystal Palace,16
Dean Henderson,Henderson,Crystal Palace,16
Rob Holding,Holding,Crystal Palace,16
Will Hughes,Hughes,Crystal Palace,16
Daichi Kamada,Kamada,Crystal Palace,16
Jefferson Lerma SolÌs,Lerma,Crystal Palace,16
Jean-Philippe Mateta,Mateta,Crystal Palace,16
Matheus FranÁa de Oliveira,M.FranÁa,Crystal Palace,16
Remi Matthews,Matthews,Crystal Palace,16
Tyrick Mitchell,Mitchell,Crystal Palace,16
Daniel MuÒoz,MuÒoz,Crystal Palace,16
David Ozoh,Ozoh,Crystal Palace,16
Jesurun Rak-Sakyi,Rak-Sakyi,Crystal Palace,16
Jeffrey Schlupp,Schlupp,Crystal Palace,16
Joel Ward,Ward,Crystal Palace,16
Adam Wharton,Wharton,Crystal Palace,16
Matt Turner,Turner,Crystal Palace,16
IsmaÔla Sarr,I.Sarr,Crystal Palace,16
Franco Umeh-Chibueze,Umeh-Chibueze,Crystal Palace,16
Justin Devenny,Devenny,Crystal Palace,16
Asher Agbinone,Agbinone,Crystal Palace,16
Kaden Rodney,Rodney,Crystal Palace,16
Maxence Lacroix,Lacroix,Crystal Palace,16
Caleb Kporha,Kporha,Crystal Palace,16
Zach Marsh,Marsh,Crystal Palace,16
Armando Broja,Broja,Everton,15
Abdoulaye DoucourÈ,A.Doucoure,Everton,15
Norberto Bercique Gomes Betuncal,Beto,Everton,15
Jarrad Branthwaite,Branthwaite,Everton,15
Dominic Calvert-Lewin,Calvert-Lewin,Everton,15
SÈamus Coleman,Coleman,Everton,15
Idrissa Gueye,Gana,Everton,15
James Garner,Garner,Everton,15
Jack Harrison,Harrison,Everton,15
Mason Holgate,Holgate,Everton,15
Tim Iroegbunam,Iroegbunam,Everton,15
Jo„o Neves VirgÌnia,J.Virginia,Everton,15
Michael Keane,Keane,Everton,15
Neal Maupay,Maupay,Everton,15
Dwight McNeil,McNeil,Everton,15
Vitalii Mykolenko,Mykolenko,Everton,15
Iliman Ndiaye,Ndiaye,Everton,15
Nathan Patterson,Patterson,Everton,15
Jordan Pickford,Pickford,Everton,15
James Tarkowski,Tarkowski,Everton,15
Youssef Ramalho Chermiti,Y. Chermiti,Everton,15
Ashley Young,Young,Everton,15
Jesper Lindstr¯m,Lindstr¯m,Everton,15
Jake O'Brien,O'Brien,Everton,15
Harrison Armstrong,Armstrong,Everton,15
Jenson Metcalfe,Metcalfe,Everton,15
Asmir Begovic,Begovic,Everton,15
Roman Dixon,Dixon,Everton,15
Orel Mangala,Mangala,Everton,15
Callum Bates,Bates,Everton,15
Reiss Nelson,Nelson,Fulham,16
Emile Smith Rowe,Smith Rowe,Fulham,16
Joachim Andersen,Andersen,Fulham,16
Adama TraorÈ,Adama,Fulham,16
Andreas Hoelgebaum Pereira,Andreas,Fulham,16
Calvin Bassey,Bassey,Fulham,16
Steven Benda,Benda,Fulham,16
Tom Cairney,Cairney,Fulham,16
Timothy Castagne,Castagne,Fulham,16
Issa Diop,Diop,Fulham,16
Luke Harris,Harris,Fulham,16
Alex Iwobi,Iwobi,Fulham,16
Bernd Leno,Leno,Fulham,16
Saöa Luki?,Luki?,Fulham,16
Kevin Mbabu,Mbabu,Fulham,16
Rodrigo Muniz Carvalho,Muniz,Fulham,16
Ra˙l JimÈnez,Ra˙l,Fulham,16
Tim Ream,Ream,Fulham,16
Harrison Reed,Reed,Fulham,16
Antonee Robinson,Robinson,Fulham,16
Jay Stansfield,Stansfield,Fulham,16
Kenny Tete,Tete,Fulham,16
Carlos VinÌcius Alves Morais,Vinicius,Fulham,16
Harry Wilson,Wilson,Fulham,16
Ryan Sessegnon,Sessegnon,Fulham,16
Jorge Cuenca Barreno,J.Cuenca,Fulham,16
Josh King,King,Fulham,16
