Player Name,Name in FPL,Team,Gameweeks
Flynn Downes,Downes,Southampton,16
Ben Brereton DÌaz,Brereton DÌaz,Southampton,16
Tyler Dibling,Dibling,Southampton,16
Mateus GonÁalo Espanha Fernandes,M.Fernandes,Southampton,16
Joseph O'Brien-Whitmarsh,O'Brien-Whitmarsh,Southampton,16
Dominic Solanke-Mitchell,Solanke,Spurs,16
Ashley Phillips,A.Phillips,Spurs,16
Brandon Austin,Austin,Spurs,16
Rodrigo Bentancur,Bentancur,Spurs,16
Lucas Bergvall,Bergvall,Spurs,16
Yves Bissouma,Bissouma,Spurs,16
Bryan Gil Salvatierra,Bryan,Spurs,16
Ben Davies,Davies,Spurs,16
Alfie Devine,Devine,Spurs,16
Radu Dr?gu?in,Dr?gu?in,Spurs,16
Emerson Leite de Souza Junior,E.Royal,Spurs,16
Fraser Forster,Forster,Spurs,16
Archie Gray,Gray,Spurs,16
Pierre-Emile H¯jbjerg,H¯jbjerg,Spurs,16
Brennan Johnson,Johnson,Spurs,16
Dejan Kulusevski,Kulusevski,Spurs,16
Giovani Lo Celso,Lo Celso,Spurs,16
James Maddison,Maddison,Spurs,16
Pedro Porro,Pedro Porro,Spurs,16
Sergio ReguilÛn,ReguilÛn,Spurs,16
Richarlison de Andrade,Richarlison,Spurs,16
Cristian Romero,Romero,Spurs,16
Pape Matar Sarr,P.M.Sarr,Spurs,16
Dane Scarlett,Scarlett,Spurs,16
Manor Solomon,Solomon,Spurs,16
Son Heung-min,Son,Spurs,16
Djed Spence,Spence,Spurs,16
Destiny Udogie,Udogie,Spurs,16
Micky van de Ven,Van de Ven,Spurs,16
Alejo VÈliz,Veliz,Spurs,16
Guglielmo Vicario,Vicario,Spurs,16
Timo Werner,Werner,Spurs,16
Alfie Whiteman,Whiteman,Spurs,16
Will Lankshear,Lankshear,Spurs,16
Mikey Moore,Moore,Spurs,16
Wilson Odobert,Odobert,Spurs,16
Callum Olusesi,Olusesi,Spurs,16
Malachi Hardy,Hardy,Spurs,16
Luca Williams-Barnett,Williams-Barnett,Spurs,16
Alfie Dorrington,Dorrington,Spurs,16
Maeson King,King,Spurs,16
Aaron Wan-Bissaka,Wan-Bissaka,West Ham,16
Edson √Ålvarez Vel·zquez,√Ålvarez,West Ham,16
Michail Antonio,Antonio,West Ham,16
Alphonse Areola,Areola,West Ham,16
Jarrod Bowen,Bowen,West Ham,16
VladimÌr Coufal,Coufal,West Ham,16
Aaron Cresswell,Cresswell,West Ham,16
George Earthy,Earthy,West Ham,16
Emerson Palmieri dos Santos,Emerson,West Ham,16
?ukasz Fabia?ski,Fabia?ski,West Ham,16
Wes Foderingham,Foderingham,West Ham,16
Danny Ings,Ings,West Ham,16
Max Kilman,Kilman,West Ham,16
Mohammed Kudus,Kudus,West Ham,16
Luis Guilherme Lira dos Santos,L.Guilherme,West Ham,16
Lucas Tolentino Coelho de Lima,L.Paquet·,West Ham,16
Konstantinos Mavropanos,Mavropanos,West Ham,16
Nayef Aguerd,N.Aguerd,West Ham,16
Tom·ö Sou?ek,Sou?ek,West Ham,16
Kurt Zouma,Zouma,West Ham,16
Andy Irving,Irving,West Ham,16
Crysencio Summerville,Summerville,West Ham,16
Guido RodrÌguez,G.RodrÌguez,West Ham,16
Niclas F¸llkrug,F¸llkrug,West Ham,16
Jean-Clair Todibo,Todibo,West Ham,16
Kaelan Casey,Casey,West Ham,16
Carlos Soler,C.Soler,West Ham,16
Ollie Scarles,Scarles,West Ham,16
Ezra Mayers,Mayers,West Ham,16
Sam Johnstone,Johnstone,Wolves,16
Rayan AÔt-Nouri,AÔt-Nouri,Wolves,16
Boubacar TraorÈ,B.Traore,Wolves,16
Jean-Ricner Bellegarde,Bellegarde,Wolves,16
Daniel Bentley,Bentley,Wolves,16
Francisco Jorge Tom·s Oliveira,Chiquinho,Wolves,16
Tawanda Chirewa,Chirewa,Wolves,16
Leon Chiwome,Chiwome,Wolves,16
Luke Cundle,Cundle,Wolves,16
Matheus Santos Carneiro Da Cunha,Cunha,Wolves,16
Craig Dawson,Dawson,Wolves,16
Matt Doherty,Doherty,Wolves,16
Tommy Doyle,Doyle,Wolves,16
F·bio Silva,F·bio Silva,Wolves,16
Nathan Fraser,Fraser,Wolves,16
Enso Gonz·lez,Gonzalez,Wolves,16
GonÁalo Manuel Ganchinho Guedes,Guedes,Wolves,16
Hugo Bueno LÛpez,H.Bueno,Wolves,16
Hwang Hee-chan,Hee Chan,Wolves,16
Joe Hodge,Hodge,Wolves,16
Ki-Jana Hoever,Hoever,Wolves,16
Jo„o Victor Gomes da Silva,J.Gomes,Wolves,16
JosÈ Malheiro de S·,JosÈ S·,Wolves,16
Saöa Kalajdûi?,Kalajdûi?,Wolves,16
Tom King,King,Wolves,16
Mario Lemina,Mario Jr.,Wolves,16
Yerson Mosquera,Mosquera,Wolves,16
NÈlson Cabral Semedo,N.Semedo,Wolves,16
Pedro Cardoso de Lima,Pedro Lima,Wolves,16
Daniel Castelo Podence,Podence,Wolves,16
Rodrigo Martins Gomes,R.Gomes,Wolves,16
Santiago Bueno,S.Bueno,Wolves,16
Pablo Sarabia,Sarabia,Wolves,16
J¯rgen Strand Larsen,Strand Larsen,Wolves,16
Toti AntÛnio Gomes,Toti,Wolves,16
Bastien Meupiyou,Meupiyou,Wolves,16
AndrÈ Trindade da Costa Neto,AndrÈ,Wolves,16
Carlos Roberto Forbs Borges,Forbs,Wolves,16
Alfie Pond,Pond,Wolves,16
Tom Edozie,Edozie,Wolves,16
