ID,Player Name,Name in FPL,Position,Team,News,Teams Selected By %,PPG,PPG Rank (Position),PPG Rank (All),,xPoints Upcoming GW,xPoints Next GW,Starts,Minutes Played,Goals,Assists,xG,xG per 90,xA,xA per 90,xGI,xGI per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded,Goals Conceded per 90,xGC,xGC per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards),Red Cards,Saves,Saves per 90,Bonus,Total BPS,Influence,Creativity,Threat,ICT Index,Influence Rank (Position),Influence Rank (All),Creativity Rank (Position),Creativity Rank (All),Threat Rank (Position),Threat Rank (All),ICT Index Rank (Position),ICT Index Rank (All),Total Points,Transfers in (Round),Transfers in (Season),Transfers Out (Round),Transfers out (Season),Season Value (Points Per Million),Value (Form; Points Per Million),Form,Current Form Rank (All),Dream Team Count
59,Max Aarons,Aarons,DEF,Bournemouth,,0.2,1,138,395,,0.2,0.2,0,15,0,0,0,0,0.01,0.06,0.01,0.06,0,0,0,0,0.03,0.18,0,0,0,0,0,0,0,0,5,1.4,1.3,0,0.3,160,465,149,420,207,520,160,466,1,115,9421,170,20202,0.2,0,0.2,370,0
60,Tyler Adams,Adams,MID,Bournemouth,,0,1.5,149,318,,1.2,1.2,4,343,0,0,0.75,0.2,0.08,0.02,0.83,0.22,1,0.26,8,2.1,3.87,1.02,0,0,0,2,0,0,0,0,52,86,50.8,35,17.3,134,290,164,267,147,265,151,304,9,69,3011,81,2228,1.8,0.2,1.2,241,0
61,Jaidon Anthony,Anthony,MID,Bournemouth,Season long loan to Burnley,0.1,0,247,601,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,594,247,590,240,571,245,596,0,0,8381,115,43853,0,0,0,549,0
62,David Brooks,Brooks,MID,Bournemouth,,0,2.1,107,236,,2.6,2.6,1,143,1,1,0.47,0.3,0.67,0.42,1.14,0.72,0,0,2,1.26,2,1.26,0,0,0,1,0,0,0,1,59,60.4,61.2,47,16.9,156,331,152,245,136,246,152,305,17,50,3103,69,2314,3.5,0.5,2.6,110,0
63,Ryan Christie,Christie,MID,Bournemouth,,0.1,2.1,108,237,,1.4,1.4,12,951,1,0,0.58,0.05,1.2,0.11,1.78,0.16,4,0.38,14,1.32,11.77,1.11,0,0,0,5,0,0,0,0,173,185.6,194.5,92,47.4,64,171,70,89,103,168,84,142,30,64,18762,205,29830,6.1,0.3,1.4,222,0
64,Lewis Cook,Cook,MID,Bournemouth,,0.2,2.9,56,135,,0.8,0.8,13,1176,1,3,0.56,0.04,1.85,0.14,2.41,0.18,1,0.08,18,1.38,16.7,1.28,0,0,0,4,0,0,0,2,227,291.8,320.2,71,68.3,22,70,31,37,119,203,43,69,40,106,49457,586,42168,8,0.2,0.8,293,0
65,Enes ‹nal,Enes ‹nal,FWD,Bournemouth,,0.1,1.7,34,295,,2.4,2.4,1,203,1,1,2.1,0.93,0.14,0.06,2.24,0.99,1,0.44,2,0.89,4,1.77,0,0,0,1,0,0,0,1,58,64.8,40.8,144,24.3,30,322,31,283,29,109,31,264,20,692,15502,419,10484,3.7,0.4,2.4,129,0
66,Romain Faivre,Faivre,MID,Bournemouth,Loaned to Brest,0,0,306,679,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,678,306,675,304,671,306,678,0,0,23,1,1421,0,0,0,661,0
67,Hamed TraorË,H.TraorË,MID,Bournemouth,Season long loan to A.J.Auxerre,0.1,0,246,600,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,593,246,589,239,570,244,595,0,0,3525,39,18436,0,0,0,548,0
68,James Hill,Hill,DEF,Bournemouth,,0.4,1,122,376,,0.2,0.2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.09,2.02,0,0,0,0,0,0,0,0,3,1,0,0,0.1,161,467,162,453,142,410,162,472,1,1331,32835,585,31027,0.3,0.1,0.2,357,0
69,Daniel Jebbison,Jebbison,FWD,Bournemouth,Loaned to Watford,1,1,41,410,,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0.34,1.18,0,0,0,0,0,0,0,0,7,3.2,10.6,2,1.6,46,454,41,365,47,395,45,443,2,0,380085,1228,472152,0.4,0,0,582,0
70,Milos Kerkez,Kerkez,DEF,Bournemouth,,5.8,3.2,26,96,,3.6,3.6,15,1277,1,2,0.23,0.02,1.31,0.09,1.54,0.11,2,0.14,20,1.41,17.62,1.24,0,0,0,2,0,0,0,5,195,267.4,237.3,78,58.3,32,90,11,61,41,187,18,97,48,16180,692446,7424,117345,10.2,0.8,3.6,66,1
71,Justin Kluivert,Kluivert,MID,Bournemouth,,4.5,4.1,17,42,,5.4,5.4,12,897,5,2,5.13,0.51,1.06,0.11,6.19,0.62,5,0.5,14,1.4,11.32,1.14,0,0,0,4,0,0,0,5,210,287.6,249.7,371,90.9,24,77,45,57,15,27,20,29,62,9690,604661,24726,165989,11.3,1,5.4,20,2
72,Chris Mepham,Mepham,DEF,Bournemouth,On loan to Sunderland for the season,0,0,223,574,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,567,222,558,217,534,223,569,0,0,287,11,6031,0,0,0,515,0
74,Dango Ouattara,O.Dango,MID,Bournemouth,,0,3.1,49,114,,3,3,4,516,2,2,2.99,0.52,1.15,0.2,4.14,0.72,1,0.17,5,0.87,6.63,1.16,0,0,0,0,0,0,0,4,143,180.2,135.7,172,48.7,68,179,99,143,55,90,80,137,37,58,5868,158,5154,7.4,0.6,3,95,1
75,Alex Paulsen,Paulsen,GKP,Bournemouth,Loaned to Auckland FC,0,0,64,526,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,521,42,503,32,463,64,523,0,0,0,14,2439,0,0,0,448,0
76,Philip Billing,Philip,MID,Bournemouth,,0,1,201,424,,0.6,0.6,0,55,0,0,0.02,0.03,0.87,1.42,0.89,1.45,0,0,1,1.64,0.83,1.36,0,0,0,0,0,0,0,0,27,29.6,47.8,9,8.6,175,375,167,273,187,348,175,355,5,47,4935,57,8605,1,0.1,0.6,315,0
77,Alex Scott,Scott,MID,Bournemouth,Knee injury - Unknown return date,0,1.4,156,333,,0,0,2,258,0,0,0.12,0.04,0.17,0.06,0.29,0.1,1,0.35,3,1.05,3.67,1.28,0,0,0,0,0,0,0,0,54,71,65.5,21,15.8,145,312,146,234,164,298,157,314,11,5,2314,25,5771,2.3,0,0,624,0
78,Antoine Semenyo,Semenyo,MID,Bournemouth,,6.6,3.7,33,72,,1.2,1.2,14,1231,4,1,4.16,0.3,2.24,0.16,6.4,0.46,2,0.15,18,1.32,17.04,1.25,0,0,0,5,0,0,0,4,213,282.2,275.6,480,103.1,26,79,36,46,6,10,15,20,52,3624,2102598,28319,1579354,9.1,0.2,1.2,248,1
79,Marcos Senesi,Senesi,DEF,Bournemouth,Thigh injury - Expected back 01 Apr,0.4,1.9,82,263,,0,0,11,917,0,0,0.81,0.08,0.44,0.04,1.25,0.12,1,0.1,15,1.47,12.04,1.18,0,0,0,4,0,0,0,3,82,221,78.7,29,33.1,58,140,52,209,86,280,64,214,21,9,66161,2327,125887,4.5,0.1,0.4,342,1
80,Luis Sinisterra,Sinisterra,MID,Bournemouth,Hamstring injury - Unknown return date,0.1,2.4,80,191,,0,0,1,203,1,1,1.09,0.48,0.91,0.4,2,0.88,0,0,3,1.33,3.48,1.54,0,0,0,0,0,0,0,2,75,98.4,96.3,177,37.2,129,280,119,186,53,86,101,193,19,5,68155,194,79281,3.9,0,0,640,1
81,Adam Smith,Smith,DEF,Bournemouth,,0.2,1.9,80,260,,2,2,10,920,0,0,0.6,0.06,0.09,0.01,0.69,0.07,2,0.2,13,1.27,10.46,1.02,0,0,0,3,0,0,0,0,72,111.4,55.6,6,17.3,96,257,66,256,126,365,100,303,28,262,23712,316,23936,6.2,0.4,2,155,0
83,Marcus Tavernier,Tavernier,MID,Bournemouth,Hamstring injury - Unknown return date,0.3,3.2,43,102,,0,0,13,1138,1,4,4.09,0.32,2.13,0.17,6.22,0.49,3,0.24,16,1.27,14.02,1.11,0,0,0,2,0,0,0,2,187,263.2,433.6,275,97.1,33,91,13,14,29,46,18,24,48,32,89948,3316,86111,8.7,0.5,3,97,0
84,Mark Travers,Travers,GKP,Bournemouth,,0.2,3.3,13,85,,0,0,3,270,0,0,0,0,0.01,0,0.01,0,0,0,3,1,4.15,1.38,0,0,0,0,0,12,4,1,38,94.6,0,0,9.4,27,283,59,560,51,536,27,350,10,95,11906,165,16134,2.3,0,0,517,0
85,Illia Zabarnyi,Zabarnyi,DEF,Bournemouth,,0.4,2.2,65,214,,2.2,2.2,15,1350,0,0,0.3,0.02,0.15,0.01,0.45,0.03,2,0.13,20,1.33,17.94,1.2,0,0,0,2,0,0,0,2,165,262.4,62.2,14,34.1,34,93,62,240,106,322,60,207,33,699,47352,532,47486,7.5,0.5,2.2,136,0
152,Kepa Arrizabalaga,Arrizabalaga,GKP,Bournemouth,,1,3.1,16,107,,2.4,2.4,10,900,0,0,0,0,0,0,0,0,2,0.2,15,1.5,10.88,1.09,0,0,0,1,0,33,3.3,1,117,236.8,10.1,0,24.6,17,119,3,369,54,556,17,262,31,3381,158643,1726,101089,6.9,0.5,2.4,120,0
580,Dean Huijsen,Huijsen,DEF,Bournemouth,,0.7,2.7,42,155,,3.8,3.8,4,430,1,0,0.83,0.17,0.36,0.08,1.19,0.25,1,0.21,5,1.05,6.53,1.37,0,0,0,1,0,0,0,3,87,154.2,67.4,61,28.3,81,208,61,229,60,219,75,239,24,4524,71733,1146,13182,5.6,0.9,3.8,60,1
592,Juli·n Araujo Z˙Òiga,J.Araujo,DEF,Bournemouth,Hamstring injury - Unknown return date,0.1,1,139,396,,0,0,5,352,0,0,0,0,0.04,0.01,0.04,0.01,0,0,7,1.79,6.95,1.78,0,0,0,1,0,0,0,0,11,40,7.9,2,5.1,129,361,125,383,138,390,136,397,8,3,10781,164,21830,1.9,0,0,502,0
599,Will Dennis,Dennis,GKP,Bournemouth,,0.4,0,58,515,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,510,36,492,26,452,58,512,0,115,33309,248,24732,0,0,0,437,0
617,Francisco Evanilson de Lima Barbosa,Evanilson,FWD,Bournemouth,,4.5,4.5,12,33,,3.6,3.6,13,1029,4,4,5.74,0.5,0.7,0.06,6.44,0.56,5,0.44,16,1.4,12.13,1.06,0,0,1,0,0,0,0,10,225,194.6,138.2,403,73.1,19,160,15,135,11,21,14,58,63,6550,719841,15781,249138,10.3,0.6,3.6,69,1
680,Max Kinsey,Kinsey,DEF,Bournemouth,,0,0,184,528,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,522,184,504,168,465,185,524,0,121,1255,69,392,0,0,0,450,0
687,Ben Winterburn,Winterburn,MID,Bournemouth,,0,0,292,658,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,652,292,649,287,634,290,654,0,56,654,26,225,0,0,0,612,0
86,Kristoffer Ajer,Ajer,DEF,Brentford,,0.2,0.9,147,446,,-0.3,0.2,8,651,0,0,0.28,0.04,0.29,0.04,0.57,0.08,0,0,13,1.8,12.2,1.69,0,0,0,3,0,0,0,0,27,76.2,54.9,49,18,107,302,68,259,73,242,97,299,8,142,31017,131,53114,1.8,0,0.2,372,0
87,Ethan Brierley,Brierley,MID,Brentford,,0.1,0,261,621,,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,614,261,611,254,594,259,616,0,41,9554,108,11208,0,0,0,570,0
88,Nathan Collins,Collins,DEF,Brentford,,2.5,3,32,120,,3.3,3.8,16,1440,2,4,1.9,0.12,0.93,0.06,2.83,0.18,1,0.06,30,1.88,28.03,1.75,0,0,0,2,0,0,0,1,202,498.2,80.6,199,77.8,1,8,51,208,4,70,6,49,48,5681,423337,3357,234788,10.7,0.8,3.8,62,1
89,Mikkel Damsgaard,Damsgaard,MID,Brentford,,1.3,3.8,25,59,,3.5,4,13,1098,2,4,1.52,0.12,2.52,0.21,4.04,0.33,3,0.25,19,1.56,21,1.72,0,0,0,0,0,0,0,6,273,346.4,349.4,171,86.8,11,38,25,29,56,91,26,36,60,3404,229203,6711,99382,12,0.8,4,57,0
90,Josh Dasilva,Dasilva,MID,Brentford,Knee injury - Unknown return date,0,0,295,662,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,660,295,654,291,643,294,660,0,4,266,5,985,0,0,0,628,0
91,Mark Flekken,Flekken,GKP,Brentford,,11.5,3.1,17,109,,3.5,4,16,1440,0,1,0,0,0.06,0,0.06,0,1,0.06,30,1.88,28.03,1.75,0,0,0,1,0,77,4.81,2,245,637.4,10.1,0,64.5,1,3,4,370,56,558,1,82,49,16904,1040242,7174,890304,10.9,0.9,4,51,1
92,Rico Henry,Henry,DEF,Brentford,Lack of match fitness - Unknown return date,0,0,216,564,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,558,216,548,206,518,217,560,0,6,983,27,6519,0,0,0,500,0
93,Aaron Hickey,Hickey,DEF,Brentford,Hamstring injury - Unknown return date,0,0,218,568,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,562,218,552,210,525,219,564,0,4,437,12,2677,0,0,0,506,0
94,Vitaly Janelt,Janelt,MID,Brentford,,0.4,2.9,52,130,,0.5,1.2,13,1154,1,3,0.58,0.05,1.61,0.13,2.19,0.18,2,0.16,24,1.87,21.15,1.65,0,0,0,2,0,0,0,2,241,233.2,187.3,81,50.1,44,123,72,92,110,181,75,129,44,39,107952,3277,83857,9,0.2,1.2,242,0
95,Mathias Jensen,Jensen,MID,Brentford,Hamstring injury - Expected back 01 Jan,0.1,2.1,110,240,,0,0,6,477,0,1,0.21,0.04,0.59,0.11,0.8,0.15,1,0.19,9,1.7,9.06,1.71,0,0,0,1,0,0,0,1,76,62,119.5,21,20.4,154,326,109,164,168,303,141,279,17,5,6161,62,19085,3.2,0.2,0.8,297,0
96,Kim Ji-soo,Ji-soo,DEF,Brentford,,0.4,0,165,486,,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,480,165,459,146,417,166,482,0,388,38866,525,27411,0,0,0,402,0
97,Yunus Emre Konak,Konak,MID,Brentford,,0.1,1,194,416,,-0.5,0,0,18,0,0,0.15,0.75,0,0,0.15,0.75,0,0,2,10,1.22,6.1,0,0,0,0,0,0,0,0,7,1.4,1.6,3,0.4,222,466,216,419,203,381,221,464,4,33,8395,107,8897,0.9,0,0,615,0
98,Keane Lewis-Potter,Lewis-Potter,MID,Brentford,,0.1,2.4,81,192,,1.3,1.8,14,1197,0,3,0.93,0.07,1.85,0.14,2.78,0.21,2,0.15,25,1.88,24.22,1.82,0,0,0,3,0,0,0,0,172,189.6,170.4,184,54.4,63,167,78,108,49,82,64,109,38,65,19334,252,17856,7.6,0.4,1.8,183,0
182,Cole Palmer,Palmer,MID,Chelsea,,63.2,7.9,2,2,,9.1,9.1,16,1388,11,7,9.82,0.64,4.08,0.26,13.9,0.9,3,0.19,18,1.17,21.18,1.37,0,0,0,3,0,0,0,19,539,650,603.4,528,178.3,2,2,2,2,4,7,2,2,127,67595,5325364,7406,2499082,11.4,0.8,8.6,2,5
100,Ben Mee,Mee,DEF,Brentford,,0.4,0.7,158,468,,-0.3,0.2,0,7,0,0,0,0,0,0,0,0,0,0,2,25.71,0.69,8.87,0,0,0,0,0,0,0,0,4,9.4,0.2,0,1,150,429,159,443,200,500,154,452,2,312,21140,496,69628,0.5,0,0.2,365,0
101,Christian N¯rgaard,N¯rgaard,MID,Brentford,,0.2,2.4,77,188,,0.9,1.4,13,1064,1,2,1.61,0.14,0.27,0.02,1.88,0.16,0,0,21,1.78,19.11,1.62,0,0,0,2,1,0,0,0,209,255.6,132.4,114,50.3,35,100,101,147,89,136,74,128,31,424,33223,477,29986,6.5,0.3,1.4,218,0
102,Frank Onyeka,Onyeka,MID,Brentford,Loaned to FC Augsburg,0,1,205,430,,0,0,0,23,0,0,0,0,0.02,0.08,0.02,0.08,0,0,0,0,0.69,2.7,0,0,0,0,0,0,0,0,3,0,0.5,0,0,299,668,222,432,296,657,299,668,2,0,648,3,3844,0.4,0,0,644,0
103,Myles Peart-Harris,Peart-Harris,MID,Brentford,Loaned to Swansea City,0,0,249,603,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,596,249,592,242,573,247,598,0,0,913,12,4430,0,0,0,551,0
104,Ethan Pinnock,Pinnock,DEF,Brentford,,0.9,2.1,69,231,,1.5,2,16,1440,2,0,0.87,0.05,0.63,0.04,1.5,0.09,1,0.06,30,1.88,28.03,1.75,1,0,0,2,0,0,0,0,162,438.8,97.7,185,72.3,3,13,44,181,5,79,9,60,33,901,176981,1876,128721,7.3,0.4,2,157,0
105,Mads Roerslev Rasmussen,Roerslev,DEF,Brentford,,0.1,1.3,111,346,,0.3,0.8,5,536,0,1,0.01,0,0.77,0.13,0.78,0.13,0,0,12,2.01,11.28,1.89,0,0,0,1,0,0,0,0,43,105.4,116.8,13,23.6,98,265,37,166,108,324,87,268,16,56,8074,54,11834,3.7,0.2,0.8,278,0
106,Kevin Schade,Schade,MID,Brentford,,0.8,3.5,35,78,,7.1,7.6,7,669,4,4,3.47,0.47,0.59,0.08,4.05,0.55,1,0.13,15,2.02,11.37,1.53,0,0,0,2,0,0,0,3,182,237.2,67.1,277,57.7,41,118,144,232,27,43,59,99,56,7736,113920,4364,45543,11,1.5,7.6,6,1
107,Igor Thiago Nascimento Rodrigues,Thiago,FWD,Brentford,,0,1.2,39,369,,0.5,1,1,129,0,0,0.1,0.07,0.02,0.01,0.12,0.08,0,0,2,1.4,2.52,1.76,0,0,0,0,0,0,0,0,20,10.8,27.9,6,4.2,40,422,34,308,46,372,42,402,5,167,3013,139,3686,0.8,0.2,1,268,0
108,Ivan Toney,Toney,FWD,Brentford,Transferred to Al-Ahli,1.2,0,76,700,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,700,76,700,76,700,76,700,0,0,43376,318,798133,0,0,0,699,0
109,H·kon Valdimarsson,Valdimarsson,GKP,Brentford,,2.9,0,40,484,,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,477,15,456,5,414,40,479,0,9539,165190,1287,255910,0,0,0,400,0
110,Yoane Wissa,Wissa,FWD,Brentford,,10.4,5.8,3,9,,3.7,4.2,12,957,8,2,6.28,0.59,0.44,0.04,6.72,0.63,2,0.19,18,1.69,16.96,1.59,0,0,0,1,0,0,0,14,313,327.8,124.8,353,80.3,6,49,18,158,14,30,12,46,75,45736,2177229,18663,1446286,12.1,0.7,4.2,50,3
111,Yehor Yarmoliuk,Yarmoliuk,MID,Brentford,,3.4,1.2,174,361,,1.1,1.6,4,389,0,0,0.39,0.09,0.28,0.06,0.67,0.15,0,0,10,2.31,9.68,2.24,0,0,0,1,0,0,0,0,95,94,71.6,31,19.6,130,284,141,224,150,273,145,287,15,7254,433800,9002,374755,3.4,0.4,1.6,197,0
112,Mathias Jorgensen,Zanka,DEF,Brentford,Joined Anderlecht,0,0,224,586,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,579,224,574,219,552,224,581,0,0,0,6,4001,0,0,0,533,0
314,F·bio Freitas Gouveia Carvalho,Carvalho,MID,Brentford,,0.7,1.7,134,292,,0.5,1,3,409,1,1,2.12,0.47,0.52,0.11,2.64,0.58,0,0,13,2.86,11.2,2.46,0,0,0,1,0,0,0,1,93,106.2,60,129,29,115,262,154,247,82,124,122,236,26,706,166957,1806,239073,5.5,0.2,1,259,0
338,Sepp van den Berg,Van den Berg,DEF,Brentford,,3.7,1.4,105,328,,1.5,2,13,1173,0,0,0.62,0.05,0.41,0.03,1.03,0.08,1,0.08,27,2.07,23.11,1.77,0,0,0,1,0,0,0,0,60,242.8,61.2,95,39.9,44,114,64,244,29,162,53,181,20,4836,525215,4249,193165,4.9,0.5,2,153,0
602,Ryan Trevitt,Trevitt,MID,Brentford,,0,1,193,415,,-0.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.6,0.1,0,0.3,220,458,227,447,283,630,223,467,1,11,5376,52,5878,0.2,0,0,608,0
634,Gustavo Nunes Fernandes Gomes,G.Nunes,MID,Brentford,Back injury - Unknown return date,0,0,302,674,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,673,302,668,300,663,302,673,0,7,333,5,383,0,0,0,652,0
649,Jayden Meghoma,Meghoma,DEF,Brentford,,0,1,129,385,,-0.3,0.2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.13,2.92,0,0,0,0,0,0,0,0,3,0,0.3,0,0,187,524,156,436,170,467,187,526,1,109,4334,73,2952,0.2,0,0.2,364,0
661,Tony Yogane,Yogane,MID,Brentford,,0,0,290,656,,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,650,290,647,285,632,288,652,0,27,2357,52,1626,0,0,0,610,0
674,Paris Maghoma,Maghoma,MID,Brentford,,0,1,186,405,,-0.1,0.4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0.74,2.47,0,0,0,0,0,0,0,0,7,6,0.4,0,0.6,210,441,223,433,234,564,219,459,2,24,572,27,273,0.4,0.1,0.4,338,0
113,Simon Adingra,Adingra,MID,Brighton,,0.3,2,113,251,,1,1,3,342,1,1,0.58,0.15,1.09,0.29,1.67,0.44,0,0,6,1.58,5.92,1.56,0,0,0,0,0,0,0,0,71,82,55.7,101,23.9,136,294,161,255,97,152,133,266,22,139,108772,602,140657,4.2,0.2,1,265,0
114,Benicio Baker-Boaitey,Baker-Boaitey,MID,Brighton,Loaned to Port Vale,0,0,256,612,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,605,256,601,249,583,254,607,0,0,0,0,499,0,0,0,560,0
115,Carlos Baleba,Baleba,MID,Brighton,,0.2,2.8,62,148,,1.8,1.8,11,895,2,1,1.06,0.11,0.27,0.03,1.33,0.14,3,0.3,15,1.51,15.01,1.51,0,0,0,2,1,0,0,4,193,212.8,137.3,91,44.2,53,147,96,137,104,169,89,154,37,237,53638,674,41709,7.4,0.4,1.8,185,1
116,ValentÌn Barco,Barco,DEF,Brighton,Loaned to Sevilla,2.9,0,195,540,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,535,195,516,181,479,197,537,0,0,34254,2687,1910385,0,0,0,463,0
118,Amario Cozier-Duberry,Cozier-Duberry,MID,Brighton,Loaned to Blackburn Rovers,0,0,270,630,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,623,270,620,263,603,268,625,0,0,1560,22,13145,0,0,0,581,0
119,Mahmoud Dahoud,Dahoud,MID,Brighton,Transferred to Eintracht Frankfurt,0,0,298,667,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,665,298,660,294,653,297,665,0,0,380,2,2917,0,0,0,636,0
120,Lewis Dunk,Dunk,DEF,Brighton,,4,2,73,246,,0.4,0.4,11,993,0,0,0.45,0.04,0.46,0.04,0.91,0.08,3,0.27,18,1.63,17.72,1.61,0,0,0,4,0,0,0,0,119,189.8,78.1,55,32.3,65,166,54,211,66,227,66,216,24,1961,676078,6329,755024,5.5,0.1,0.4,334,0
121,Julio Enciso,Enciso,MID,Brighton,,0.1,1,210,437,,0.2,0.2,0,129,0,0,0.34,0.24,0.2,0.14,0.54,0.38,0,0,2,1.4,1.78,1.24,0,0,0,0,0,0,0,0,47,39.4,73.1,64,17.5,168,362,139,221,122,213,150,302,8,137,11029,140,13588,1.5,0,0.2,391,0
122,Pervis EstupiÒ·n,EstupiÒan,DEF,Brighton,,2.1,1.5,102,322,,2.6,2.6,10,972,0,1,0.44,0.04,1.34,0.12,1.78,0.16,0,0,21,1.94,19.47,1.8,0,0,0,2,0,0,0,3,104,223.8,309.8,70,60.5,53,134,6,38,52,204,15,91,19,6239,298802,6339,103737,3.7,0.5,2.6,113,0
123,Evan Ferguson,Ferguson,FWD,Brighton,,0.3,1.6,35,308,,1.2,1.2,2,212,1,0,0.39,0.17,0.27,0.11,0.66,0.28,1,0.42,5,2.12,3.79,1.61,0,0,0,0,0,0,0,2,62,56.6,25.3,51,13,33,335,35,317,36,237,35,325,18,549,58941,800,48424,3.3,0.2,1.2,247,0
124,Billy Gilmour,Gilmour,MID,Brighton,Transferred to Napoli,0,1.5,151,321,,0,0,1,97,0,0,0.08,0.07,0.04,0.04,0.12,0.11,0,0,1,0.93,1.32,1.22,0,0,0,0,0,0,0,0,21,11.4,11.9,2,2.5,199,421,202,360,215,403,206,424,3,0,2640,14,16344,0.6,0,0,658,0
125,Pascal Groﬂ,Gross,MID,Brighton,Permanent transfer to Borussia Dortmund,0,0,316,696,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,696,316,696,316,696,316,696,0,0,0,4,8148,0,0,0,693,0
126,Jack Hinshelwood,Hinshelwood,MID,Brighton,Knee injury - 50% chance of playing,0.1,2.8,61,147,,0,0,10,839,1,0,0.74,0.08,0.68,0.07,1.42,0.15,3,0.32,13,1.39,16.85,1.81,0,0,0,2,0,0,0,3,129,117,111.3,76,30.6,109,252,112,171,115,190,116,228,28,2,23419,115,23007,5.6,0,0,668,1
127,Ibrahim Osman,I.Osman,MID,Brighton,Loaned to Feyenoord,0,0,311,687,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,687,311,684,309,680,311,687,0,0,0,0,1129,0,0,0,671,0
128,Igor Julio dos Santos de Paulo,Igor,DEF,Brighton,,0.1,1.5,99,312,,1.2,1.2,7,745,0,0,0.05,0.01,0.22,0.03,0.27,0.04,1,0.12,13,1.57,12.77,1.54,0,0,0,3,0,0,0,0,91,156.6,37.3,4,19.9,80,207,85,289,130,379,90,284,15,62,12548,514,12628,3.4,0.3,1.2,234,0
129,Jo„o Pedro Junqueira de Jesus,Jo„o Pedro,FWD,Brighton,,22.1,5.3,7,15,,4.6,4.6,8,678,4,3,2.51,0.33,1.46,0.19,3.97,0.52,3,0.4,8,1.06,9.1,1.21,0,0,0,1,0,0,0,11,227,245.2,169,249,66.2,16,112,9,110,21,54,16,77,53,30548,4104516,46951,3603057,9,0.8,4.6,38,2
