FPL Name-Team,Player Name,Name in FPL,Position,Team,Teams Selected By %,PPG,PPG Rank (Position),PPG Rank (All),Starts,Minutes Played,Goals,xG,xG per 90,Assists,xA,xA per 90,xGI,xGI per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded,Goals Conceded per 90,xGC,xGC per 90,Penalties Missed,Penalties Saved,Saves,Saves per 90,Bonus,Total BPS,Influence,Influence Rank (Position),Influence Rank (All),Creativity,Creativity Rank (Position),Creativity Rank (All),Threat,Threat Rank (Position),Threat Rank (All),ICT Index,ICT Index Rank (Position),ICT Index Rank (All),Total Points,Season Value (Points Per Million),Overall Rank by Position,Overall Rank
White-Arsenal,Benjamin White,White,DEF,Arsenal,4.4,2.9,44,158,13,1195,0,0.46,0.03,2,1.3,0.1,1.76,0.13,5,0.38,13,0.98,16.88,1.27,0,0,0,0,0,211,247.6,103,274,162.6,59,237,100,82,276,51,88,291,50,8.1,31,87
Zinchenko-Arsenal,Oleksandr Zinchenko,Zinchenko,DEF,Arsenal,0.9,2.7,56,185,5,518,0,0.65,0.11,1,0.52,0.09,1.17,0.2,4,0.69,1,0.17,3.21,0.56,0,0,0,0,2,141,83.4,148,411,92.8,95,309,66,99,317,24.1,130,382,40,8.3,82,214
Neto-Arsenal,Norberto Murara Neto,Neto,GK,Arsenal,0.7,3.5,15,88,2,180,0,0,0,0,0,0,0,0,0,0,2,1,2.91,1.46,0,0,11,5.5,0,30,77.8,36,417,0,66,649,0,47,612,7.8,36,460,7,1.7,33,243
Sterling-Arsenal,Raheem Sterling,Sterling,MID,Arsenal,0.8,1.5,186,393,7,490,0,1.43,0.26,2,0.48,0.09,1.91,0.35,1,0.18,4,0.73,4.33,0.8,0,0,0,0,0,64,67.2,195,423,125.5,167,271,122,139,248,31.3,180,360,26,3.9,72,224
Calafiori-Arsenal,Riccardo Calafiori,Calafiori,DEF,Arsenal,1.5,2.1,90,286,11,978,2,0.86,0.08,1,0.69,0.06,1.55,0.14,1,0.09,12,1.1,10.28,0.95,0,0,0,0,1,142,252.6,101,271,118.2,78,277,176,40,201,54.6,84,283,39,6.7,63,159
Lewis-Skelly-Arsenal,Myles Lewis-Skelly,Lewis-Skelly,MID,Arsenal,0.4,1.6,170,369,15,1362,1,0.16,0.01,0,0.51,0.03,0.67,0.04,5,0.33,16,1.06,16.65,1.1,0,0,0,0,0,237,176,151,333,170.7,150,230,57,179,327,40,164,324,37,8.2,85,277
Merino-Arsenal,Mikel Merino,Merino,MID,Arsenal,1.5,3.3,53,118,17,1575,7,5.75,0.33,2,1.18,0.07,6.93,0.4,4,0.23,17,0.97,15.71,0.9,0,0,0,0,8,326,456.8,60,157,265.8,114,164,511,40,61,123.3,68,108,92,15.3,52,164
Oulad M'hand-Arsenal,Salah-Eddine Oulad M'hand,Oulad M'hand,MID,Arsenal,0,0,293,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,722,0,292,719,0,283,700,0,292,722,0,0,276,675
Setford-Arsenal,Tommy Setford,Setford,GK,Arsenal,0.1,0,82,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,748,0,80,744,0,71,728,0,82,748,0,0,69,533
Kacurri-Arsenal,Maldini Kacurri,Kacurri,DEF,Arsenal,0,0,238,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,645,0,238,633,0,229,594,0,239,645,0,0,192,551
Kabia-Arsenal,Ismeal Kabia,Kabia,MID,Arsenal,0,0,321,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,759,0,320,756,0,312,739,0,320,759,0,0,277,676
Nichols-Arsenal,Josh Nichols,Nichols,DEF,Arsenal,0.1,0,218,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,621,0,217,608,0,206,567,0,219,621,0,0,185,528
Butler-Oyedeji-Arsenal,Nathan Butler-Oyedeji,Butler-Oyedeji,FWD,Arsenal,0.2,1,51,492,0,6,0,0.07,1.05,0,0,0,0.07,1.05,0,0,0,0,0.04,0.6,0,0,0,0,0,5,3,55,531,0,61,701,17,54,411,2,56,509,1,0.2,62,386
Porter-Arsenal,Jack Porter,Porter,GK,Arsenal,0,0,76,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,657,0,65,645,0,46,607,0,76,657,0,0,74,690
Gower-Arsenal,Jimi Gower,Gower,MID,Arsenal,0,0,308,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,741,0,307,737,0,299,721,0,307,741,0,0,343,795
Jack Henry-Francis-Arsenal,Jack Henry-Francis,Jack Henry-Francis,MID,Arsenal,0,0,296,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,726,0,295,722,0,286,704,0,295,726,0,0,344,797
Clarke-Arsenal,Brayden Clarke,Clarke,DEF,Arsenal,0,0,235,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,640,0,235,628,0,226,589,0,236,640,0,0,264,781
Bailey-Aston Villa,Leon Bailey,Bailey,MID,Aston Villa,0.8,2,138,305,14,1132,1,1.73,0.14,2,2.92,0.23,4.65,0.37,2,0.16,19,1.51,13.91,1.11,0,0,0,0,2,174,146.4,162,357,235.8,126,184,325,68,104,70.3,118,232,47,7.6,75,233
Barkley-Aston Villa,Ross Barkley,Barkley,MID,Aston Villa,0.2,2.2,113,262,3,567,3,1.79,0.28,1,0.43,0.07,2.22,0.35,1,0.16,10,1.59,6.32,1,0,0,0,0,5,166,215.4,136,295,128.1,166,268,206,110,173,54.8,147,280,44,8.5,108,341
Barrenechea-Aston Villa,Enzo Barrenechea,Barrenechea,MID,Aston Villa,0,0,333,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,779,0,333,777,0,331,768,0,333,779,0,0,274,669
Buendia-Aston Villa,Emiliano BuendÌa Stati,Buendia,MID,Aston Villa,0.1,0.9,250,533,0,89,0,0.65,0.66,0,0.03,0.03,0.68,0.69,0,0,2,2.02,2.27,2.3,0,0,0,0,0,37,16.4,224,488,23.2,221,426,16,215,415,5.2,224,482,11,2.2,192,516
Cash-Aston Villa,Matty Cash,Cash,DEF,Aston Villa,1.6,2.8,49,166,24,2069,1,0.48,0.02,1,1.23,0.05,1.71,0.07,7,0.3,22,0.96,28.64,1.25,0,0,0,0,2,286,359.2,74,202,181,52,221,171,43,204,71.3,73,228,76,17.3,61,157
Dendoncker-Aston Villa,Leander Dendoncker,Dendoncker,MID,Aston Villa,0.2,0,269,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,690,0,268,686,0,259,665,0,268,690,0,0,124,381
Diaby-Aston Villa,Moussa Diaby,Diaby,MID,Aston Villa,0,0,347,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,802,0,347,802,0,347,802,0,347,802,0,0,280,688
Diego Carlos-Aston Villa,Diego Carlos Santos Silva,Diego Carlos,DEF,Aston Villa,0.3,2.1,87,269,8,828,0,0.64,0.07,0,0.08,0.01,0.72,0.08,2,0.22,15,1.63,11.88,1.29,0,0,0,0,1,69,150.6,127,350,9.2,163,469,54,109,333,21.5,135,394,21,4.7,122,316
Digne-Aston Villa,Lucas Digne,Digne,DEF,Aston Villa,5.6,2.8,48,165,28,2348,0,0.8,0.03,5,3.97,0.15,4.77,0.18,6,0.23,36,1.38,34.94,1.34,0,0,0,0,7,383,512.6,49,138,583.9,9,57,112,73,262,120.7,22,112,89,20.2,22,67
Dobbin-Aston Villa,Lewis Dobbin,Dobbin,MID,Aston Villa,0,0,338,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,786,0,338,785,0,336,778,0,338,786,0,0,337,788
Duran-Aston Villa,Jhon Dur·n,Duran,FWD,Aston Villa,1.6,2.6,24,200,4,622,7,5.11,0.74,0,0.24,0.03,5.35,0.77,2,0.29,14,2.03,9.94,1.44,0,0,0,0,9,222,273.8,23,256,68.9,35,337,334,30,102,67.5,29,241,53,9.3,23,156
Gauci-Aston Villa,Joe Gauci,Gauci,GK,Aston Villa,0.5,0,67,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,611,0,56,598,0,37,557,0,67,611,0,0,36,259
Hause-Aston Villa,Kortney Hause,Hause,DEF,Aston Villa,0.5,0,197,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,576,0,194,556,0,177,508,0,196,576,0,0,99,256
Iling Jr-Aston Villa,Samuel Iling-Junior,Iling Jr,MID,Aston Villa,0,0,344,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,796,0,344,796,0,342,792,0,344,796,0,0,271,661
Kamara-Aston Villa,Boubacar Kamara,Kamara,MID,Aston Villa,0.1,2.2,111,259,20,1720,1,0.82,0.04,0,0.83,0.04,1.65,0.08,6,0.31,22,1.15,23.03,1.21,0,0,0,0,3,296,326.6,102,228,191,144,215,83,165,294,60.2,139,267,57,11.4,180,496
