FPL Name-Team,Player Name,Name in FPL,Position,Team,Teams Selected By %,PPG,PPG Rank (Position),PPG Rank (All),Starts,Minutes Played,Goals,xG,xG per 90,Assists,xA,xA per 90,xGI,xGI per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded,Goals Conceded per 90,xGC,xGC per 90,Penalties Missed,Penalties Saved,Saves,Saves per 90,Bonus,Total BPS,Influence,Influence Rank (Position),Influence Rank (All),Creativity,Creativity Rank (Position),Creativity Rank (All),Threat,Threat Rank (Position),Threat Rank (All),ICT Index,ICT Index Rank (Position),ICT Index Rank (All),Total Points,Season Value (Points Per Million),Overall Rank by Position,Overall Rank
Jebbison-Bournemouth,Daniel Jebbison,Jebbison,FWD,Bournemouth,1.1,1.2,45,437,0,105,1,1.05,0.9,0,0.12,0.1,1.17,1,0,0,2,1.71,2.05,1.76,0,0,0,0,1,67,58.2,42,433,39.1,44,383,70,44,310,16.6,42,412,20,4.4,31,196
Kerkez-Bournemouth,Milos Kerkez,Kerkez,DEF,Bournemouth,20,3.5,16,93,38,3336,2,0.6,0.02,6,2.57,0.07,3.17,0.09,9,0.24,45,1.21,48.69,1.31,0,0,0,0,10,550,694,23,59,642,7,46,238,19,145,157.3,7,67,134,25.3,4,16
Kluivert-Bournemouth,Justin Kluivert,Kluivert,MID,Bournemouth,11,4.6,9,16,29,2339,12,10.05,0.39,6,3.66,0.14,13.71,0.53,13,0.5,29,1.12,32.6,1.25,0,0,0,0,14,532,700,17,58,654.1,37,44,771,15,27,212,15,20,158,26.8,12,38
Mepham-Bournemouth,Chris Mepham,Mepham,DEF,Bournemouth,0,0,257,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,673,0,257,667,0,255,640,0,258,673,0,0,222,639
O.Dango-Bournemouth,Dango Ouattara,O.Dango,MID,Bournemouth,0.9,3.5,41,90,21,1998,7,8.42,0.38,4,3.24,0.15,11.66,0.53,7,0.32,23,1.04,31.96,1.44,0,0,0,0,7,432,624.6,32,86,496.8,59,77,754,17,29,187.2,34,46,111,24.7,68,215
Paulsen-Bournemouth,Alex Paulsen,Paulsen,GK,Bournemouth,0,0,70,626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,619,0,59,606,0,40,565,0,70,619,0,0,73,668
Philip-Bournemouth,Philip Billing,Philip,MID,Bournemouth,0,1,236,515,1,176,0,0.55,0.28,0,0.97,0.5,1.52,0.78,0,0,4,2.05,3.35,1.71,0,0,0,0,0,52,54,199,438,102.4,175,295,47,186,347,20.4,191,397,10,2.1,232,596
Scott-Bournemouth,Alex Scott,Scott,MID,Bournemouth,0,1.3,197,422,8,745,0,0.73,0.09,0,1,0.12,1.73,0.21,3,0.36,8,0.97,10.14,1.22,0,0,0,0,0,132,141.6,165,360,171.6,149,229,118,144,254,43.2,158,310,26,5.5,243,615
Semenyo-Bournemouth,Antoine Semenyo,Semenyo,MID,Bournemouth,8,4.5,11,22,36,3202,11,9.51,0.27,7,4.43,0.12,13.94,0.39,11,0.31,41,1.15,44.18,1.24,0,0,0,0,14,571,792.2,8,35,688.9,32,38,1204,2,4,267.8,6,9,165,28.9,15,49
Senesi-Bournemouth,Marcos Senesi,Senesi,DEF,Bournemouth,0.3,1.8,108,332,13,1103,0,0.84,0.07,0,0.48,0.04,1.32,0.11,2,0.16,17,1.39,14.76,1.2,0,0,0,0,3,114,271.6,96,259,84.2,101,317,39,121,357,39.6,106,325,31,6.7,117,300
Sinisterra-Bournemouth,Luis Sinisterra,Sinisterra,MID,Bournemouth,0.1,1.9,143,317,1,229,1,1.18,0.46,1,1.29,0.51,2.47,0.97,0,0,4,1.57,4.08,1.6,0,0,0,0,2,90,112,182,384,115.3,170,280,195,115,183,42.3,159,313,23,4.8,164,457
Smith-Bournemouth,Adam Smith,Smith,DEF,Bournemouth,0.1,2.3,75,237,19,1586,0,0.65,0.04,0,0.68,0.04,1.33,0.08,6,0.34,18,1.02,19.04,1.08,0,0,0,0,0,161,181.8,122,329,147.2,69,251,24,136,392,35,114,342,57,13,149,417
Tavernier-Bournemouth,Marcus Tavernier,Tavernier,MID,Bournemouth,0.2,3,64,146,20,1932,3,5.51,0.26,7,3.65,0.17,9.16,0.43,4,0.19,29,1.35,25.42,1.18,0,0,0,0,4,362,447,64,162,664.8,35,42,442,47,73,155.4,48,70,87,16.1,104,334
Travers-Bournemouth,Mark Travers,Travers,GK,Bournemouth,0.1,3.8,10,59,5,450,0,0,0,0,0.01,0,0.01,0,1,0.2,5,1,7.36,1.47,0,0,20,4,1,76,146.4,33,355,0,76,668,0,62,642,14.6,33,421,19,4.3,63,455
Zabarnyi-Bournemouth,Illia Zabarnyi,Zabarnyi,DEF,Bournemouth,0.5,2.6,58,189,35,3109,0,1.2,0.03,1,0.76,0.02,1.96,0.05,8,0.23,42,1.22,42.54,1.23,0,0,0,0,8,429,651.4,29,74,177,55,225,88,86,288,92,45,164,94,21.4,98,254
Arrizabalaga-Bournemouth,Kepa Arrizabalaga,Arrizabalaga,GK,Bournemouth,3.7,3.4,17,100,31,2790,0,0.06,0,0,0.03,0,0.09,0,8,0.26,39,1.26,38.83,1.25,0,0,97,3.13,7,406,744.4,12,44,10.4,13,460,4,1,464,75.8,12,217,106,23,15,103
Huijsen-Bournemouth,Dean Huijsen,Huijsen,DEF,Bournemouth,5,3.2,32,127,26,2422,3,1.82,0.07,2,1.57,0.06,3.39,0.13,7,0.26,31,1.15,37.44,1.39,0,0,0,0,14,449,826.4,10,29,217.6,42,193,193,34,187,123.6,20,106,104,23.1,26,75
J.Araujo-Bournemouth,Juli·n Araujo Z˙Òiga,J.Araujo,DEF,Bournemouth,0.1,1,173,479,7,492,0,0,0,0,0.1,0.02,0.1,0.02,0,0,10,1.83,9.69,1.77,0,0,0,0,0,20,56.8,158,436,30.6,143,400,4,169,462,9.2,158,449,12,2.8,155,431
Dennis-Bournemouth,Will Dennis,Dennis,GK,Bournemouth,0.3,0,56,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,584,0,39,565,0,19,518,0,56,584,0,0,46,302
Evanilson-Bournemouth,Francisco Evanilson de Lima Barbosa,Evanilson,FWD,Bournemouth,8.5,4.1,12,39,28,2317,10,12.47,0.48,5,1.74,0.07,14.21,0.55,11,0.43,30,1.17,26.78,1.04,1,0,0,0,20,487,456,19,158,331.9,11,125,966,7,13,174.8,12,58,128,21.7,8,44
Kinsey-Bournemouth,Max Kinsey,Kinsey,DEF,Bournemouth,0,0,217,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,620,0,216,607,0,205,566,0,218,620,0,0,197,568
Winterburn-Bournemouth,Ben Winterburn,Winterburn,MID,Bournemouth,0,1,229,505,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.65,0,0,0,0,0,14,2.4,248,536,0.2,253,522,2,239,475,0.4,246,537,4,0.9,283,698
Harris-Bournemouth,Archie Harris,Harris,DEF,Bournemouth,0,0,251,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,660,0,251,648,0,244,611,0,252,660,0,0,216,624
Rees-Dottin-Bournemouth,Remy Rees-Dottin,Rees-Dottin,FWD,Bournemouth,0.1,1,57,504,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,73,766,0,73,763,0,73,746,0,73,766,1,0.2,69,502
Akinmboni-Bournemouth,Matai Akinmboni,Akinmboni,DEF,Bournemouth,0,0,228,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,633,0,228,621,0,219,582,0,229,633,0,0,229,677
Soler-Bournemouth,Julio Soler,Soler,DEF,Bournemouth,0,1,157,461,0,9,0,0,0,0,0,0,0,0,0,0,1,10,0.08,0.8,0,0,0,0,0,8,2.2,190,538,1.8,182,494,0,185,529,0.4,190,536,3,0.8,204,587
Adu-Adjei-Bournemouth,Daniel Adu-Adjei,Adu-Adjei,FWD,Bournemouth,0,0,74,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,760,0,71,757,0,71,740,0,71,760,0,0,75,552
Sadi-Bournemouth,Dominic Sadi,Sadi,MID,Bournemouth,0,0,314,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,747,0,313,743,0,305,727,0,313,747,0,0,309,742
McKenna-Bournemouth,Callan McKenna,McKenna,GK,Bournemouth,0,0,73,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,641,0,62,629,0,43,590,0,73,641,0,0,75,695
Silcott-Duberry-Bournemouth,Zain Silcott-Duberry,Silcott-Duberry,MID,Bournemouth,0,1,226,498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04,3.6,0,0,0,0,0,5,2,250,542,1,243,498,0,293,711,0.3,250,541,1,0.2,322,766
Ajer-Brentford,Kristoffer Ajer,Ajer,DEF,Brentford,0.2,1.6,121,367,17,1433,0,0.97,0.06,0,0.48,0.03,1.45,0.09,3,0.19,25,1.57,21.7,1.36,0,0,0,0,0,120,199,118,314,128.1,74,267,158,51,214,48.5,90,293,39,8.9,137,359
Brierley-Brentford,Ethan Brierley,Brierley,MID,Brentford,0.1,0,263,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,677,0,261,673,0,250,648,0,260,677,0,0,178,492
Collins-Brentford,Nathan Collins,Collins,DEF,Brentford,4.5,3.3,26,114,38,3420,2,2.44,0.06,7,1.57,0.04,4.01,0.1,8,0.21,57,1.5,56.31,1.48,0,0,0,0,11,549,1023.2,1,7,160.5,61,239,311,7,106,149.6,10,77,127,27.6,28,83
Damsgaard-Brentford,Mikkel Damsgaard,Damsgaard,MID,Brentford,1.2,3.4,44,102,34,2911,2,2.91,0.09,10,7.01,0.22,9.92,0.31,11,0.34,41,1.27,45.6,1.41,0,0,0,0,10,611,714.8,15,56,1006.4,6,6,338,65,100,205.9,22,27,131,26.7,61,186
Dasilva-Brentford,Josh Dasilva,Dasilva,MID,Brentford,0,0,330,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,772,0,329,769,0,325,757,0,329,772,0,0,314,752
Flekken-Brentford,Mark Flekken,Flekken,GK,Brentford,10,3.7,11,69,37,3275,0,0,0,2,0.11,0,0.11,0,7,0.19,55,1.51,54.82,1.51,0,0,153,4.2,12,584,1298.4,1,2,30.3,2,403,0,68,664,132.5,1,96,138,30.7,7,40
Henry-Brentford,Rico Henry,Henry,DEF,Brentford,0,0.8,182,539,0,94,0,0,0,0,0.01,0.01,0.01,0.01,0,0,3,2.87,2.16,2.07,0,0,0,0,0,5,13.6,178,495,2.1,180,491,2,176,472,1.7,177,513,4,0.9,211,612
Hickey-Brentford,Aaron Hickey,Hickey,DEF,Brentford,0,0,254,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,667,0,254,661,0,250,630,0,255,667,0,0,241,705
Janelt-Brentford,Vitaly Janelt,Janelt,MID,Brentford,0.2,2.3,102,239,27,2251,1,0.83,0.03,3,2.38,0.1,3.21,0.13,6,0.24,38,1.52,37.37,1.49,0,0,0,0,2,384,356.6,90,206,284.2,108,155,131,137,239,77.2,108,209,73,15.2,133,394
Jensen-Brentford,Mathias Jensen,Jensen,MID,Brentford,0.1,1.6,175,377,8,846,0,0.23,0.02,2,1.75,0.19,1.98,0.21,2,0.21,17,1.81,16.41,1.75,0,0,0,0,1,179,157,157,344,249.5,120,176,32,201,378,43.8,157,308,38,7.2,187,511
Ji-soo-Brentford,Kim Ji-soo,Ji-soo,DEF,Brentford,0.3,1,156,460,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0.32,1.03,0,0,0,0,0,8,5,187,518,0.8,184,501,0,184,528,0.6,187,531,3,0.8,119,308
Konak-Brentford,Yunus Emre Konak,Konak,MID,Brentford,0.1,1,221,490,0,53,0,0.15,0.25,0,0,0,0.15,0.25,0,0,2,3.4,1.79,3.04,0,0,0,0,0,30,8,235,508,4.5,238,479,3,236,467,1.2,241,522,10,2.3,203,535
Lewis-Potter-Brentford,Keane Lewis-Potter,Lewis-Potter,MID,Brentford,0.1,2.5,89,213,36,3092,1,2.96,0.09,5,4.94,0.14,7.9,0.23,8,0.23,49,1.43,50.62,1.47,0,0,0,0,0,460,542,45,122,462.2,66,84,391,57,87,139.9,57,87,94,18.8,170,469
Mbeumo-Brentford,Bryan Mbeumo,Mbeumo,MID,Brentford,46.7,6.2,2,2,38,3415,20,12.52,0.33,9,9.24,0.24,21.75,0.57,9,0.24,55,1.45,55.4,1.46,1,0,0,0,29,948,1236.8,2,3,1107.5,5,5,1060,4,8,340.8,2,2,236,28.4,2,3
Mee-Brentford,Ben Mee,Mee,DEF,Brentford,0.3,1.3,144,420,2,180,0,0,0,0,0.02,0.01,0.02,0.01,1,0.5,4,2,2.71,1.36,0,0,0,0,0,30,36.8,168,454,3,174,485,6,164,447,4.6,170,486,9,2.1,120,310
N¯rgaard-Brentford,Christian N¯rgaard,N¯rgaard,MID,Brentford,0.2,3.1,60,136,34,2820,5,4.23,0.14,5,1.38,0.04,5.61,0.18,6,0.19,45,1.44,44.54,1.42,0,0,0,0,7,580,735.4,11,48,333,88,123,409,52,81,147.9,53,79,107,22.3,116,366
Onyeka-Brentford,Frank Onyeka,Onyeka,MID,Brentford,0,1,240,520,0,23,0,0,0,0,0.02,0.08,0.02,0.08,0,0,0,0,0.69,2.7,0,0,0,0,0,3,0,332,778,0.5,247,505,0,329,766,0,332,778,2,0.4,282,697
Peart-Harris-Brentford,Myles Peart-Harris,Peart-Harris,MID,Brentford,0,0,277,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,703,0,276,699,0,267,680,0,276,703,0,0,281,694
Pinnock-Brentford,Ethan Pinnock,Pinnock,DEF,Brentford,0.3,2.1,86,268,21,1912,2,1.08,0.05,0,0.64,0.03,1.72,0.08,2,0.09,35,1.65,34.33,1.62,0,0,0,0,0,233,540.2,45,123,101.2,89,298,193,33,186,83.6,58,190,47,10.7,124,319
Roerslev-Brentford,Mads Roerslev Rasmussen,Roerslev,DEF,Brentford,0.1,1.9,101,311,11,1100,0,0.2,0.02,2,2.09,0.17,2.29,0.19,2,0.16,20,1.64,21.52,1.76,0,0,0,0,0,125,214.4,107,296,185.8,51,218,78,90,299,48,92,295,36,8.4,180,507
Schade-Brentford,Kevin Schade,Schade,MID,Brentford,3.3,3.9,25,54,26,2281,11,8.45,0.33,4,1.75,0.07,10.2,0.4,10,0.39,34,1.34,30.66,1.21,0,0,0,0,12,498,630.8,27,79,312.7,96,136,892,10,19,183.3,36,50,149,28.1,33,108
Thiago-Brentford,Igor Thiago Nascimento Rodrigues,Thiago,FWD,Brentford,0,1.1,49,452,1,167,0,0.13,0.07,0,0.04,0.02,0.17,0.09,0,0,4,2.16,3.54,1.91,0,0,0,0,0,32,18.2,48,487,30.6,46,401,12,56,430,5.8,50,476,9,1.5,80,618
Toney-Brentford,Ivan Toney,Toney,FWD,Brentford,1.1,0,87,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,804,0,87,804,0,87,804,0,87,804,0,0,30,195
Valdimarsson-Brentford,H·kon Valdimarsson,Valdimarsson,GK,Brentford,2.9,1,42,458,1,144,0,0,0,0,0,0,0,0,0,0,2,1.25,1.49,0.93,0,0,3,1.88,0,14,21.4,41,480,0.1,22,525,0,22,523,2.1,41,506,2,0.5,16,113
Wissa-Brentford,Yoane Wissa,Wissa,FWD,Brentford,24.2,5.3,5,9,34,2921,18,18.58,0.57,6,2.2,0.07,20.77,0.64,9,0.28,45,1.39,45.12,1.39,0,0,0,0,32,739,849.4,4,22,400,6,102,1181,3,5,242.4,4,12,185,26.8,4,12
Yarmoliuk-Brentford,Yehor Yarmoliuk,Yarmoliuk,MID,Brentford,2.3,1.4,187,406,15,1435,0,0.62,0.04,0,0.91,0.06,1.53,0.1,3,0.19,25,1.57,26.43,1.66,0,0,0,0,0,255,259.6,122,266,196.1,141,211,89,160,287,54.4,149,284,43,10,43,132
Zanka-Brentford,Mathias Jorgensen,Zanka,DEF,Brentford,0,0,258,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,686,0,258,681,0,256,658,0,259,686,0,0,242,710
Carvalho-Brentford,F·bio Freitas Gouveia Carvalho,Carvalho,MID,Brentford,0.4,1.8,151,331,3,443,2,2.49,0.51,1,0.54,0.11,3.03,0.62,0,0,14,2.84,11.46,2.33,0,0,0,0,1,127,142.2,163,358,71.5,192,333,154,128,219,36.3,168,338,35,7.8,89,288
Van den Berg-Brentford,Sepp van den Berg,Van den Berg,DEF,Brentford,1.5,2,93,290,29,2584,0,2.09,0.07,1,0.52,0.02,2.61,0.09,5,0.17,49,1.71,44.61,1.55,0,0,0,0,1,266,587.4,38,106,108.3,86,289,226,24,156,92.3,44,162,62,15.1,62,158
Trevitt-Brentford,Ryan Trevitt,Trevitt,MID,Brentford,0,1,220,489,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.6,247,535,0.1,255,527,0,257,656,0.3,249,540,1,0.2,213,563
G.Nunes-Brentford,Gustavo Nunes Fernandes Gomes,G.Nunes,MID,Brentford,0,1,242,522,0,11,0,0,0,0,0,0,0,0,0,0,2,16.36,0.35,2.86,0,0,0,0,0,11,10,231,501,0.3,252,518,2,240,476,1.2,242,523,3,0.6,318,760
Meghoma-Brentford,Jayden Meghoma,Meghoma,DEF,Brentford,0,1,161,467,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.14,3.15,0,0,0,0,0,3,0.2,195,548,0.3,188,510,0,207,568,0.1,194,548,1,0.2,208,600
Yogane-Brentford,Tony Yogane,Yogane,MID,Brentford,0,0,323,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,762,0,322,759,0,314,742,0,322,762,0,0,298,717
Maghoma-Brentford,Paris Maghoma,Maghoma,MID,Brentford,0,1,222,491,0,112,0,0.12,0.1,0,0.04,0.03,0.16,0.13,0,0,1,0.8,1.89,1.52,0,0,0,0,0,32,27.8,213,466,15.8,226,440,10,221,435,5.4,223,478,8,1.8,292,711
Arthur-Brentford,Benjamin Arthur,Arthur,DEF,Brentford,0,0,249,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,658,0,249,646,0,242,609,0,250,658,0,0,215,620
Kayode-Brentford,Michael Kayode,Kayode,DEF,Brentford,0.1,2.2,82,254,6,523,0,0.19,0.03,1,0.7,0.12,0.89,0.15,2,0.34,5,0.86,6.66,1.15,0,0,0,0,0,115,105.2,140,393,105.2,88,291,30,129,380,24.2,129,381,27,6,150,419
Eyestone-Brentford,Julian Eyestone,Eyestone,GK,Brentford,0,0,72,637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,630,0,61,618,0,42,579,0,72,630,0,0,78,736
Morgan-Brentford,Iwan Morgan,Morgan,FWD,Brentford,0,0,69,742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,738,0,64,734,0,65,718,0,65,738,0,0,81,622
Benjamin Fredrick-Brentford,Benjamin Fredrick,Benjamin Fredrick,DEF,Brentford,0,0,247,661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,654,0,247,642,0,239,604,0,248,654,0,0,255,749
Adingra-Brighton,Simon Adingra,Adingra,MID,Brighton,0.3,2.1,124,281,12,1081,2,2.47,0.21,3,2.73,0.23,5.2,0.44,2,0.17,23,1.91,18.94,1.58,0,0,0,0,0,207,212.4,138,299,261.9,115,165,337,66,101,80.9,102,200,60,11.8,94,309
Baker-Boaitey-Brighton,Benicio Baker-Boaitey,Baker-Boaitey,MID,Brighton,0,0,284,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,711,0,283,708,0,274,688,0,283,711,0,0,335,786
Baleba-Brighton,Carlos Baleba,Baleba,MID,Brighton,0.2,2.6,83,196,31,2660,3,3.1,0.1,1,1.21,0.04,4.31,0.14,8,0.27,40,1.35,39.54,1.34,0,0,0,0,7,490,515.4,52,134,343.7,85,120,193,117,188,105.2,81,142,87,17.4,129,387
Barco-Brighton,ValentÌn Barco,Barco,DEF,Brighton,1.9,0,229,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,634,0,229,622,0,220,583,0,230,634,0,0,54,141
Cozier-Duberry-Brighton,Amario Cozier-Duberry,Cozier-Duberry,MID,Brighton,0,0,301,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,731,0,300,727,0,291,709,0,300,731,0,0,260,648
Dahoud-Brighton,Mahmoud Dahoud,Dahoud,MID,Brighton,0,0,331,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,775,0,331,774,0,327,762,0,330,775,0,0,293,712
Dunk-Brighton,Lewis Dunk,Dunk,DEF,Brighton,2.3,1.8,106,327,23,2081,0,0.81,0.04,1,1.02,0.04,1.83,0.08,4,0.17,42,1.82,35.69,1.54,0,0,0,0,0,223,425.4,63,170,115.7,79,279,128,65,242,66.9,78,246,44,10.5,50,131
EstupiÒan-Brighton,Pervis EstupiÒ·n,EstupiÒan,DEF,Brighton,1.3,2.1,89,279,26,2399,1,1.09,0.04,1,2.43,0.09,3.52,0.13,3,0.11,44,1.65,39.85,1.49,0,0,0,0,7,313,504.4,51,141,530.1,13,68,173,42,203,120.8,21,111,63,12.9,70,177
Gilmour-Brighton,Billy Gilmour,Gilmour,MID,Brighton,0,1.5,183,390,1,97,0,0.08,0.07,0,0.04,0.04,0.12,0.11,0,0,1,0.93,1.32,1.22,0,0,0,0,0,21,11.4,230,500,11.9,231,452,2,241,477,2.5,234,500,3,0.6,235,604
Gross-Brighton,Pascal Groﬂ,Gross,MID,Brighton,0,0,346,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,801,0,346,801,0,346,801,0,346,801,0,0,263,651
Hinshelwood-Brighton,Jack Hinshelwood,Hinshelwood,MID,Brighton,0.1,3.4,46,104,22,1839,5,2.74,0.13,3,1.5,0.07,4.24,0.2,6,0.29,30,1.47,30.09,1.47,0,0,0,0,8,404,394.6,78,185,268.1,113,163,304,72,109,97,89,153,89,18.2,196,524
I.Osman-Brighton,Ibrahim Osman,I.Osman,MID,Brighton,0,0,341,791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,792,0,341,791,0,339,784,0,341,792,0,0,324,768
Igor-Brighton,Igor Julio dos Santos de Paulo,Igor,DEF,Brighton,0.1,1.4,138,404,10,959,0,0.05,0,0,0.25,0.02,0.3,0.02,1,0.09,17,1.6,17.21,1.62,0,0,0,0,0,113,189.6,120,321,54.7,120,356,4,168,461,24.9,128,379,18,4.2,176,497
Jo„o Pedro-Brighton,Jo„o Pedro Junqueira de Jesus,Jo„o Pedro,FWD,Brighton,8.5,4.7,7,15,23,1946,10,8.96,0.41,6,3.1,0.14,12.06,0.55,6,0.28,28,1.29,25.51,1.18,0,0,0,0,26,516,567,12,113,456,4,85,644,19,45,166,13,60,126,22.9,9,45
Kozlowski-Brighton,Kacper Koz?owski,Kozlowski,MID,Brighton,0,0,285,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,713,0,284,710,0,275,690,0,284,713,0,0,346,800
Lamptey-Brighton,Tariq Lamptey,Lamptey,DEF,Brighton,0.2,2.8,50,167,10,856,2,0.38,0.04,2,0.8,0.08,1.18,0.12,2,0.21,21,2.21,15.36,1.61,0,0,0,0,1,99,213.6,108,298,101,91,300,52,111,335,36.8,111,334,42,9.5,131,345
March-Brighton,Solly March,March,MID,Brighton,0,0.9,252,535,1,161,0,0.09,0.05,0,0.32,0.18,0.41,0.23,0,0,3,1.68,2.82,1.58,0,0,0,0,0,25,24,217,472,59.6,197,347,18,213,408,10.1,210,445,7,1.1,233,597
Mazilu-Brighton,Adrian Mazilu,Mazilu,MID,Brighton,0,0,313,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,746,0,312,742,0,304,726,0,312,746,0,0,290,708
Milner-Brighton,James Milner,Milner,MID,Brighton,0,1.5,181,388,3,170,0,0.16,0.08,0,0.15,0.08,0.31,0.16,1,0.53,1,0.53,1.98,1.05,0,0,0,0,0,27,28.6,212,465,66.3,194,342,12,220,429,10.7,209,440,6,1.2,227,586
Minteh-Brighton,Yankuba Minteh,Minteh,MID,Brighton,1,3.2,57,129,20,1831,6,4.13,0.2,5,4.99,0.25,9.12,0.45,4,0.2,33,1.62,28.41,1.4,0,0,0,0,8,398,523.8,49,129,448.9,69,88,615,29,48,159.1,45,64,102,21.2,66,211
Mitoma-Brighton,Mitoma Kaoru,Mitoma,MID,Brighton,6.3,4,23,46,28,2597,10,9.19,0.32,5,4.03,0.14,13.22,0.46,6,0.21,40,1.39,37.05,1.28,0,0,0,0,12,536,670.6,23,70,578,49,59,856,12,21,210.7,16,21,145,23,18,59
Moder-Brighton,Jakub Moder,Moder,MID,Brighton,0.4,1,215,484,0,9,0,0,0,0,0.53,5.3,0.53,5.3,0,0,0,0,0.26,2.6,0,0,0,0,0,17,15.8,225,489,36,209,389,2,237,473,5.4,222,477,4,0.9,86,278
O'Mahony-Brighton,Mark O'Mahony,O'Mahony,FWD,Brighton,0.2,0,71,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,754,0,68,751,0,68,734,0,68,754,0,0,60,373
Offiah-Brighton,Odeluga Offiah,Offiah,DEF,Brighton,0.1,0,209,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,606,0,208,593,0,197,552,0,210,606,0,0,191,550
Peupion-Brighton,Cameron Peupion,Peupion,MID,Brighton,0,0,262,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,676,0,260,672,0,249,647,0,259,676,0,0,211,557
Sarmiento-Brighton,Jeremy Sarmiento Morante,Sarmiento,MID,Brighton,0,1,241,521,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,254,550,0.8,246,502,0,330,767,0.1,254,550,1,0.2,299,720
Steele-Brighton,Jason Steele,Steele,GK,Brighton,0.7,4.5,3,20,2,180,0,0,0,0,0,0,0,0,1,0.5,1,0.5,1.88,0.94,0,0,3,1.5,1,46,40.4,39,448,0,45,574,0,26,533,4.1,39,489,9,2.2,32,242
Undav-Brighton,Deniz Undav,Undav,FWD,Brighton,0,0,84,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,798,0,84,798,0,84,795,0,84,798,0,0,87,758
Van Hecke-Brighton,Jan Paul van Hecke,Van Hecke,DEF,Brighton,0.7,2.6,59,191,33,2960,1,1.32,0.04,1,1.41,0.04,2.73,0.08,7,0.21,47,1.43,44.67,1.36,0,0,0,0,7,406,736.6,18,46,261.8,33,167,182,37,197,118.3,26,118,87,19.3,91,235
